date,year,quarter,month,Real_GDP_SA,Uncertainty_Index,Household_credit,Residential_prices,Unemployment_Rate,Unemployment_Claims,Automobile_Sales,Manufacturing_Working_hours_index,Industrial_Capacity_Utilization_Index,Industrial_Production_Index,Steel_Production,Petroleum_Product_Sales,Energy_Generation,Nominal_Revenue_Tourism_Index,Retail_Trade_Index,Tendancy_manufact_exports,Tendancy_manufact_production,Tendancy_employment,Foreign_Trade_Index,Average_Real_Income,3_months_bond_yield,Apple_Mobility_Index,Fuel_Price_Ethanol,Agriculture_Price:Soybean,Dollar_Rate,Ibov,Savings_Deposits,Foreign_Trade_Balance
2004-07-03,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2542129921380147,903.5221494959748,6363328188.731238,391.43903906358696
2004-07-10,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2496960672612266,910.0783868385782,6371605533.212486,401.9184518682153
2004-07-17,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2485557450115026,936.46275804764,6387640625.929746,369.14059492752017
2004-07-24,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2481827577626737,936.7386473296756,6406321144.33248,347.83183500793234
2004-07-31,0,0,1,NaN,NaN,NaN,NaN,NaN,412298.389545421,183048.0,98.4,82.6,95.458298926507,2836.0,7738421.60180519,32269.4541348,NaN,1.5147745081348196,14.4,35.9,21.4,40.40719196192491,NaN,16.0775225806452,NaN,NaN,NaN,0.2504141087931132,936.9296227055536,6411159121.729395,424.24643046007407
2004-08-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2508725380548898,937.7798305995688,6412151630.573914,445.8626066725325
2004-08-14,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2490552521641195,916.2668403715414,6418400888.167817,465.50653591117606
2004-08-21,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2457312292373306,959.8123488079308,6421310143.296078,437.4271893234113
2004-08-28,0,0,1,NaN,NaN,NaN,NaN,NaN,405952.521537425,186469.0,99.3,82.5,96.44921552436,2890.0,7757804.84514471,32857.452791,NaN,1.5235051969425129,7.9,26.4,19.0,40.676532769556026,NaN,16.328035483871,NaN,NaN,NaN,0.2429297170820292,969.5297594004896,6424719919.549314,423.4936575052854
2004-09-04,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2411009293818236,962.9860743649735,6421925746.385296,372.2592714708038
2004-09-11,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2385393121090288,947.7726545151936,6427358386.072403,353.6238769195125
2004-09-18,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2379609354059988,953.5754776401428,6432714759.465731,363.9830621751616
2004-09-25,0,1,1,125.32177818,0.2902968,0.1838462883901651,5.5646,NaN,316291.501384766,181598.0,99.5,82.7,96.9997247453895,2801.0,7739155.9095807,32805.717326,NaN,1.5322358857502063,4.2,27.5,18.4,39.81559536354056,NaN,16.760824137931,NaN,NaN,NaN,0.2358035245790716,973.2518961060972,6434308739.581625,387.118018967334
2004-10-02,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2350986279722538,984.4289703519366,6425498212.240006,355.0290441444486
2004-10-09,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2326602443719797,1017.7062902897544,6422528665.728581,413.4163899768707
2004-10-16,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2339673428585148,987.0074451724792,6420218229.222334,344.84509237352347
2004-10-23,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2351035573191546,968.6998522950126,6417463076.97573,308.5691823899371
2004-10-30,0,0,1,NaN,NaN,NaN,NaN,NaN,381343.490087298,191902.0,99.6,82.6,96.44921552436,2706.0,7595616.53105565,33284.74633,NaN,1.5409665745578998,-1.5,28.9,19.8,36.22117400419287,NaN,17.05565,NaN,NaN,NaN,0.2354765445679837,964.095933824668,6411768470.507405,353.51153039832286
2004-11-06,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2326220419334983,990.3354285518362,6402778590.61424,299.5012352240627
2004-11-13,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2315905760945009,984.1277941885068,6404630616.548613,330.8739579334849
2004-11-20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2274441737930914,1004.8325159441422,6403953513.501693,272.9623724175943
2004-11-27,0,0,1,NaN,NaN,NaN,NaN,NaN,449703.258260915,185596.0,100.7,82.2,96.2290118359483,2758.0,7428138.36097773,32695.65409637,NaN,1.5496972633655934,1.1,34.2,22.8,35.38341158059468,NaN,17.7851689655172,NaN,NaN,NaN,0.2257838054453306,1026.7797534422657,6399487725.959346,261.4762649973918
2004-12-04,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2237069072844502,1048.9350199742637,6404641000.409858,199.92175273865416
2004-12-11,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2263276767200548,1040.5966610304029,6434373367.990427,238.65414710485132
