,Brazil
1960-01-30,29.40741935483871
1960-02-06,29.41
1960-02-13,29.41
1960-02-20,29.41
1960-02-27,29.41
1960-03-05,29.426774193548386
1960-03-12,29.456129032258065
1960-03-19,29.48548387096774
1960-03-26,29.51483870967742
1960-04-02,29.541
1960-04-09,29.548
1960-04-16,29.555
1960-04-23,29.562
1960-04-30,29.569
1960-05-07,29.57774193548387
1960-05-14,29.586774193548386
1960-05-21,29.5958064516129
1960-05-28,29.60483870967742
1960-06-04,29.604
1960-06-11,29.59
1960-06-18,29.576
1960-06-25,29.562
1960-07-02,29.551935483870967
1960-07-09,29.565483870967743
1960-07-16,29.579032258064515
1960-07-23,29.59258064516129
1960-07-30,29.606129032258064
1960-08-06,29.61
1960-08-13,29.61
1960-08-20,29.61
1960-08-27,29.61
1960-09-03,29.619333333333334
1960-09-10,29.652
1960-09-17,29.684666666666665
1960-09-24,29.717333333333332
1960-10-01,29.75
1960-10-08,29.756774193548388
1960-10-15,29.763548387096776
1960-10-22,29.77032258064516
1960-10-29,29.77709677419355
1960-11-05,29.784000000000002
1960-11-12,29.791
1960-11-19,29.798
1960-11-26,29.805
1960-12-03,29.81193548387097
1960-12-10,29.818709677419353
1960-12-17,29.82548387096774
1960-12-24,29.83225806451613
1960-12-31,29.839032258064517
1961-01-07,29.84
1961-01-14,29.84
1961-01-21,29.84
1961-01-28,29.84
1961-02-04,29.84
1961-02-11,29.84
1961-02-18,29.84
1961-02-25,29.84
1961-03-04,29.837096774193547
1961-03-11,29.83032258064516
1961-03-18,29.823548387096775
1961-03-25,29.816774193548387
1961-04-01,29.81
1961-04-08,29.817
1961-04-15,29.823999999999998
1961-04-22,29.831
1961-04-29,29.838
1961-05-06,29.84
1961-05-13,29.84
1961-05-20,29.84
1961-05-27,29.84
1961-06-03,29.845333333333333
1961-06-10,29.864
1961-06-17,29.88266666666667
1961-06-24,29.901333333333334
1961-07-01,29.92
1961-07-08,29.92451612903226
1961-07-15,29.929032258064517
1961-07-22,29.933548387096774
1961-07-29,29.938064516129035
1961-08-05,29.94516129032258
1961-08-12,29.9541935483871
1961-08-19,29.963225806451614
1961-08-26,29.97225806451613
1961-09-02,29.98
1961-09-09,29.98
1961-09-16,29.98
1961-09-23,29.98
1961-09-30,29.98
1961-10-07,29.98
1961-10-14,29.98
1961-10-21,29.98
1961-10-28,29.98
1961-11-04,29.983
1961-11-11,29.990000000000002
1961-11-18,29.997
1961-11-25,30.004
1961-12-02,30.010967741935485
1961-12-09,30.017741935483873
1961-12-16,30.024516129032257
1961-12-23,30.031290322580645
1961-12-30,30.038064516129033
1962-01-06,30.051290322580645
1962-01-13,30.067096774193548
1962-01-20,30.08290322580645
1962-01-27,30.098709677419354
1962-02-03,30.114285714285714
1962-02-10,30.129285714285714
1962-02-17,30.144285714285715
1962-02-24,30.159285714285716
1962-03-03,30.172580645161293
1962-03-10,30.18161290322581
1962-03-17,30.190645161290323
1962-03-24,30.19967741935484
1962-03-31,30.208709677419357
1962-04-07,30.216
1962-04-14,30.223
1962-04-21,30.23
1962-04-28,30.237
1962-05-05,30.236129032258063
1962-05-12,30.22935483870968
1962-05-19,30.22258064516129
1962-05-26,30.215806451612902
1962-06-02,30.210333333333335
1962-06-09,30.212666666666667
1962-06-16,30.215
1962-06-23,30.217333333333332
1962-06-30,30.219666666666665
1962-07-07,30.231612903225805
1962-07-14,30.24516129032258
1962-07-21,30.258709677419354
1962-07-28,30.27225806451613
1962-08-04,30.293548387096774
1962-08-11,30.325161290322583
1962-08-18,30.35677419354839
1962-08-25,30.388387096774196
1962-09-01,30.42
1962-09-08,30.410666666666668
1962-09-15,30.401333333333334
1962-09-22,30.392
1962-09-29,30.382666666666665
1962-10-06,30.38
1962-10-13,30.38
1962-10-20,30.38
1962-10-27,30.38
1962-11-03,30.38
1962-11-10,30.38
1962-11-17,30.38
1962-11-24,30.38
1962-12-01,30.38
1962-12-08,30.393548387096775
1962-12-15,30.407096774193548
1962-12-22,30.420645161290324
1962-12-29,30.434193548387096
1963-01-05,30.44516129032258
1963-01-12,30.4541935483871
1963-01-19,30.463225806451614
1963-01-26,30.47225806451613
1963-02-02,30.48107142857143
1963-02-09,30.48857142857143
1963-02-16,30.49607142857143
1963-02-23,30.50357142857143
1963-03-02,30.50903225806452
1963-03-09,30.50225806451613
1963-03-16,30.495483870967742
1963-03-23,30.488709677419354
1963-03-30,30.48193548387097
1963-04-06,30.485
1963-04-13,30.492
1963-04-20,30.499000000000002
1963-04-27,30.506
1963-05-04,30.51967741935484
1963-05-11,30.54225806451613
1963-05-18,30.56483870967742
1963-05-25,30.58741935483871
1963-06-01,30.61
